presidente	bando1	bando2	federacion	descripcion	inicio	fin	numero	total
CSG	tijuana	juarez		Tras la separación de la organización de Sinaloa/ de Guadalajara y la detención en 1989 de su líder, Miguel Ángel Félix Gallardo, inicia un conflicto por el dominio de territorio. El Cártel de Juárez y el Cártel de Sinaloa buscan entrar y dominar Baja California, uno de los principales cruces para trasiego de droga a Estados Unidos. Por separado se enfrentan al Cártel de Tijuana. 	1991	1993	1	3
CSG	tijuana	sinaloa		Tras la separación de la organización de Sinaloa/ de Guadalajara y la detención en 1989 de su líder, Miguel Ángel Félix Gallardo, inicia un conflicto por el dominio de territorio. El Cártel de Juárez y el Cártel de Sinaloa buscan entrar y dominar Baja California, uno de los principales cruces para trasiego de droga a Estados Unidos. Por separado se enfrentan al Cártel de Tijuana. 	1991	1993	2	3
CSG	tijuana	milenio|sinaloa|juarez	Federación 1	Tras la detención en 1993 de Joaquín, el Chapo, Guzmán, líder del cártel de Sinaloa. Amado Carrillo Fuentes, el Señor de los Cielos, forma La Federación en donde esos dos cárteles se unen en contra del Cártel de Tijuana. 	1993	1993	3	3
EZP	tijuana	milenio|sinaloa|juarez	Federación 1	Tras la detención en 1993 de Joaquín, el Chapo, Guzmán, líder del cártel de Sinaloa. Amado Carrillo Fuentes, el Señor de los Cielos, forma La Federación en donde esos dos cárteles se unen en contra del Cártel de Tijuana. 	1994	1997	1	1
VFQ	tijuana	milenio|sinaloa|juarez	Federación 2	Con la fuga de Joaquín El Chapo Guzmán en 2001, este capo organiza una nueva era de La Federación. Además de combatir al cártel de Tijuana; el cártel de Sinaloa y el Cártel de Juárez se unen para pelear contra el cártel del Golfo y tomar el control de Tamaulipas. Suman al Cártel de los Beltrán Leyva. 	2002	2003	2	10
VFQ	golfo	milenio|sinaloa|juarez	Federación 2	Con la fuga de Joaquín El Chapo Guzmán en 2001, este capo organiza una nueva era de La Federación. Además de combatir al cártel de Tijuana; el cártel de Sinaloa y el Cártel de Juárez se unen para pelear contra el cártel del Golfo y tomar el control de Tamaulipas. Suman al Cártel de los Beltrán Leyva. 	2001	2003	3	10
VFQ	golfo	milenio		El Cártel del Golfo ingresa a Michoacán y pelea con el cártel del Milenio por el control del estado y el tráfico de metanfetaminas.	2000	2003	4	10
VFQ	tijuana|golfo	sinaloa		En prisión, Benjamín Arellano Félix, líder del cártel de Tijuana y detenido en 2002 y Osiel Cárdenas, líder del cártel del Golfo y detenido en 2003, hacen una alianza en contra de El Chapo.	2003	2005	5	10
VFQ	sinaloa	juarez		Asesinan en 2004 a Rodolfo Carrillo Fuentes, El niño de Oro, hermano menor de Vicente Carrillo Fuentes, líder del Cártel de Juárez. Acusa de traición al Cártel de Sinaloa. En venganza, asesinan a Arturo Guzmán Loera, El Pollo, hermano de El Chapo.	2004	2005	6	10
VFQ	tijuana	sinaloa		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2004	2005	7	10
VFQ	tijuana	juarez		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2004	2005	8	10
VFQ	golfo	juarez		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2004	2005	9	10
VFQ	golfo	sinaloa		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2004	2005	10	10
FCH	tijuana|golfo	sinaloa		En prisión, Benjamín Arellano Félix, líder del cártel de Tijuana y detenido en 2002 y Osiel Cárdenas, líder del cártel del Golfo y detenido en 2003, hacen una alianza en contra de El Chapo.	2006	2010	1	14
FCH	sinaloa	juarez		Asesinan en 2004 a Rodolfo Carrillo Fuentes, El niño de Oro, hermano menor de Vicente Carrillo Fuentes, líder del Cártel de Juárez. Acusa de traición al Cártel de Sinaloa. En venganza, asesinan a Arturo Guzmán Loera, El Pollo, hermano de El Chapo.	2006	2008	2	14
FCH	tijuana	sinaloa		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2006	2011	3	14
FCH	tijuana	juarez		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2006	2011	4	14
FCH	golfo	juarez		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2006	2011	5	14
FCH	golfo	sinaloa		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2006	2011	6	14
FCH	familia-michoacana	zetas		En 2006 abandonan seis cabezas en un bar de Uruapan, Michoacán. La Familia Michoacana anuncia su lucha contra Los Zetas. Publican un desplegado en el que anuncian que explusarán a ese grupo del estado. 	2006	2011	7	14
FCH	sinaloa|familia-michoacana	zetas		En este momento, el Cártel de Sinaloa y Los Zetas son las dos organizaciones criminales con más influencia en territorio nacional. Inician disputa por territorio.	2006	2011	8	14
FCH	sinaloa	zetas		Detención en 2008 de Alfredo Belltrán Leyva, El Mochomo, líder del cártel de los Beltrán Leyva. Acusan al cártel de Sinaloa de traición. En consecuencia, asesinan a Édgar Guzmán López, hijo de Joaquín, El Chapo, Guzmán.	2008	2011	9	14
FCH	sinaloa	beltran-leyva|golfo		El Cártel de los Beltrán Leyva se une con las organizaciones que tienen conflicto con el Chapo Guzmán.	2008	2011	10	14
FCH	sinaloa	juarez|beltran-leyva		El Cártel de los Beltrán Leyva se une con las organizaciones que tienen conflicto con el Chapo Guzmán.	2008	2011	11	14
FCH	golfo	zetas		Se unen el cártel de Sinaloa y La Familia para expulsar a los Zetas de la ruta que va de Michoacán a Sonora.	2008	2011	12	14
FCH	sinaloa	beltran-leyva		En 2010, tras la muerte de Sergio Peña Mendoza, El Concorde, representante de Los Zetas en Tamaulipas, ese grupo criminal inicia un conflicto con el Cártel del Golfo por el dominio absoluto del noreste del país.	2010	2011	13	14
FCH	familia-michoacana	beltran-leyva		En 2009 muere en un enfrentamiento con la Marina, Arturo Beltrán Leyva, El Barbas, líder de la organización de los Beltrán Leyva, con lo que inicia la división de la organización criminal en pequeñas células delictivas que se enfrentan a la Familia Michoacana.	2009	2011	14	14
EPN	tijuana	sinaloa		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2012	2014	1	10
EPN	tijuana	juarez		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2012	2014	2	10
EPN	golfo	juarez		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2012	2014	3	10
EPN	golfo	sinaloa		Con el conflicto entre el Cártel de Sinaloa y el Cártel de Juárez acaba la Federación. El conflicto que mantenían estas organizaciones con el Cártel de Tijuana y el Cártel del Golfo por el dominio de territorio continúa, pero por separado.	2012	2014	4	10
EPN	familia-michoacana	zetas		En 2006 abandonan seis cabezas en un bar de Uruapan, Michoacán. La Familia Michoacana anuncia su lucha contra Los Zetas. Publican un desplegado en el que anuncian que explusarán a ese grupo del estado. 	2012	2012	5	10
EPN	sinaloa|familia-michoacana	zetas		En este momento, el Cártel de Sinaloa y Los Zetas son las dos organizaciones criminales con más influencia en territorio nacional. Inician disputa por territorio.	2012	2014	6	10
EPN	golfo	zetas		Se unen el cártel de Sinaloa y La Familia para expulsar a los Zetas de la ruta que va de Michoacán a Sonora.	2012	2012	7	10
EPN	sinaloa	beltran-leyva		En 2010, tras la muerte de Sergio Peña Mendoza, El Concorde, representante de Los Zetas en Tamaulipas, ese grupo criminal inicia un conflicto con el Cártel del Golfo por el dominio absoluto del noreste del país.	2012	2014	8	10
EPN	familia-michoacana	beltran-leyva		En 2009 muere en un enfrentamiento con la Marina, Arturo Beltrán Leyva, El Barbas, líder de la organización de los Beltrán Leyva, con lo que inicia la división de la organización criminal en pequeñas células delictivas que se enfrentan a la Familia Michoacana.	2012	2014	9	10
EPN	jalisco-nueva-generacion	caballeros-templarios		Tras la muerte de Ignacio, Nacho, Coronel en un enfrentamiento con el Ejército en 2010, sus seguidores en Jalisco y lo que quedó del cártel del Milenio se organizan para formar el Cártel Jalisco Nueva Generación. Desde 2012 se enfrentan con Los Caballeros Templarios en el occidente y suroeste del país. 	2012	2014	10	10
